Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-1971,Martyrs Sergius and Bacchus,Sergios; Bacchos,Male,Martyr,,,Officer / General; Soldier,Torture; Persecution,,Military Service,Syria,,Pre-Nicene,4th,Oct 7,"Holy Martyrs Sergius and Bacchus, pray to God for us.",,,"High-ranking soldiers under Maximian who were exposed as Christians, refused pagan worship, and suffered torture and martyrdom.",Named pair kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1972,"Venerable Sergius, Abbot of Nurma",Sergius of Nurma,Male,Venerable (Monastic); Wonderworker,Monastic,,,,,,Rus' / Russia,Russian,Post-Byzantine,15th,Oct 7,"Venerable Father Sergius, pray to God for us.",,,A Greek Athonite monk who became a disciple of Saint Sergius of Radonezh and founded the Nurma monastery in Vologda.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1973,Martyrs Julian the Presbyter and Caesarius the Deacon of Terracina,Julian; Caesarius,Male,Hieromartyr,Clergy - Priest,,,Imprisonment; Persecution,,,Italy / Rome,Western (pre-schism),Apostolic Age,1st,Oct 7,"Holy Martyrs Julian and Caesarius, pray to God for us.",,,A presbyter and deacon martyred at Terracina in Italy; Caesarius was imprisoned for rebuking the worship of pagan gods.,Pre-schism Western saints; named pair kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1974,Martyr Polychronius the Presbyter,Polychronius of Constantinople,Male,Hieromartyr,Clergy - Priest,,Farmer,Persecution,,,Constantinople,,Byzantine,,Oct 7,"Holy Hieromartyr Polychronius, pray to God for us.",,,A priest raised in Christian piety who worked as a vineyard laborer and suffered martyrdom for Christ.,"Distinct from Hieromartyr Polychronius, Bishop of Babylon (OS-1610, Jul 30).",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1975,99 Holy Fathers of Crete,John the Wonderworker and the Fathers of Crete,Male,Venerable (Monastic),Monastic,,,,,,Greece,Greek,Byzantine,,Oct 7,"Venerable Fathers of Crete, pray to God for us.",,,"A community of ninety-nine ascetic fathers of Crete, whose leader John was a renowned wonderworker.",Named numerical group kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1976,Venerable Joseph the Elder of Khevi,Joseph the Wonderworker of Khevi,Male,Venerable (Monastic),Clergy - Priest,,,,,,Georgia,Georgian,Post-Byzantine,,Oct 7,"Venerable Father Joseph, pray to God for us.",,,"A native priest of Khevi in northern Georgia, revered as an elder and wonderworker.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1977,Venerable Pelagia the Penitent,Pelagia of Antioch; Margarita,Female,Venerable (Monastic),Convert; Monastic,,,Repentance from grave sin,Repentance,,Syria,,Byzantine,5th,Oct 8,"Venerable Mother Pelagia, pray to God for us.",,,"A famous performer of Antioch who repented after hearing Bishop Nonnus, was baptized, and lived in asceticism near Jerusalem disguised as a monk.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1978,"Venerable Dositheus, Abbot of Verkneostrov",Dositheus of Pskov,Male,Venerable (Monastic),Monastic,,,,,,Rus' / Russia,Russian,Post-Byzantine,15th,Oct 8,"Venerable Father Dositheus, pray to God for us.",,,A disciple of Saint Euphrosynus of Pskov who founded the Peter and Paul Monastery on Lake Pskov.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1979,"Venerable Tryphon, Archimandrite of Vyatka",Tryphon of Vyatka,Male,Venerable (Monastic),Monastic,,,,,,Rus' / Russia,Russian,Post-Byzantine,16th,Oct 8,"Venerable Father Tryphon, pray to God for us.",,,"A monk of peasant birth who founded and guided monastic life in Vyatka, known for discipline, prayer, and missionary zeal.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1980,Virgin Martyr Pelagia of Antioch,Pelagia the Virgin,Female,Martyr,,,,Persecution,Purity,,Syria,,Pre-Nicene,3rd,Oct 8,"Holy Virgin Martyr Pelagia, pray to God for us.",,,"A young Christian noblewoman of Antioch who chose death rather than violation by the soldiers sent to arrest her, honored as a virgin martyr.",Distinct from Pelagia the Penitent on the same date.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1981,Monastic Martyr Ignatius of Bulgaria,Ignatius the Monk; John of Eski Zagora,Male,New Martyr; Venerable-Martyr,Monastic,,,Persecution,,,Bulgaria,Bulgarian,Modern,19th,Oct 8,"Holy New Martyr Ignatius, pray to God for us.",,,"A Bulgarian who became a monk on Mount Athos and later confessed Christ publicly under Ottoman rule, suffering martyrdom at Constantinople.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1982,"Apostle James, son of Alphaeus",James of Alphaeus,Male,Apostle,,,,Persecution,,Missionary Work,Palestine / Holy Land,,Apostolic Age,1st,Oct 9,"Holy Apostle James, pray to God for us.",,,"One of the Twelve Apostles and brother of the Evangelist Matthew, who preached Christ after Pentecost and suffered for the Gospel.",Not James son of Zebedee or James the Brother of the Lord.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1983,Venerable Andronicus and his wife Athanasia of Egypt,Andronikos; Athanasia,Male & Female,Venerable (Monastic),Monastic,Married; Parent,Craftsman,Loss of a Child; Grief / Bereavement,,,Egypt,,Byzantine,5th,Oct 9,"Venerable Andronicus and Athanasia, pray to God for us.",,,"A married couple who gave to the poor and entered monastic life after the deaths of their children; Athanasia lived disguised as a male monk, and they were reunited only near death.",Named married pair kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1984,Righteous Forefather Abraham,Abraham the Patriarch,Male,Righteous; Patriarch (OT),,Married; Parent,,Exile,Faith; Obedience,,Mesopotamia,,Old Testament,,Oct 9,"Righteous Forefather Abraham, pray to God for us.",,,"The biblical patriarch called by God to leave his homeland and become the father of many nations, remembered for faith and obedience.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1985,Righteous Lot,"Lot, nephew of Abraham",Male,Righteous,,,,Exile,,,Palestine / Holy Land,,Old Testament,,Oct 9,"Righteous Lot, pray to God for us.",,,"Nephew of Abraham who lived in Sodom and was rescued before its destruction, remembered as righteous amid a corrupt city.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1986,"Saint Publia the Confessor, Deaconess of Antioch",Publia,Female,Confessor,Layperson,Widowed,,Widowhood; Persecution,,,Syria,,Byzantine,4th,Oct 9,"Holy Confessor Publia, pray to God for us.",,,"A widowed deaconess who led a women's ascetic community and openly resisted Julian's pagan revival, and was beaten for singing psalms against idolatry.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1987,Venerable Peter the former soldier,Peter of Galatia; Leo,Male,Venerable (Monastic),Monastic,,Soldier,,,,Asia Minor,,Byzantine,9th,Oct 9,"Venerable Father Peter, pray to God for us.",,,"A former soldier under the iconoclast Emperor Theophilus who left military life for monastic asceticism, remembered for repentance and perseverance.",Distinct from Peter the Hermit of Galatia (OS-0575).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1988,Hieromartyr Dionysius of Paris,Denis of Paris,Male,Hieromartyr,Clergy - Bishop,,,Persecution,,Missionary Work,Gaul / France,Western (pre-schism),Pre-Nicene,3rd,Oct 9,"Holy Hieromartyr Dionysius, pray to God for us.",,,"A missionary bishop sent to preach in Gaul, beheaded at Paris with his companions, and venerated as a patron of France.",Pre-schism Western saint; not Dionysius the Areopagite.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1989,Saint Stephen the Blind of Serbia,Stefan Brankovic,Male,Right-believing (Ruler); Confessor,,,Ruler,Blindness; Exile,,,Serbia,Serbian,Post-Byzantine,15th,Oct 9,"Holy Stephen, pray to God for us.",,,"A fifteenth-century Serbian ruler who was blinded and endured exile, remembered for patience and faithfulness to Christ.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1990,Martyrs Eulampius and Eulampia and 200 Martyrs,Eulampios; Eulampia,Male & Female,Martyr,,,,Torture; Persecution,,,Asia Minor,,Pre-Nicene,4th,Oct 10,"Holy Martyrs Eulampius and Eulampia, pray to God for us.",,,A brother and sister of Nicomedia who confessed Christ under Maximian and endured torture; many witnesses were converted and martyred with them.,Named group kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1991,"Saint Amphilochius, Bishop of Vladimir in Volhynia",Amphilochius of Volhynia,Male,Hierarch,Clergy - Bishop,,,,,,Ukraine,Russian,Byzantine,12th,Oct 10,"Holy Hierarch Amphilochius, pray to God for us.",,,"An early bishop of Vladimir-Volhynia in one of the oldest dioceses of Rus', remembered among the saints of Volhynia.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1992,Blessed Andrew of Totma the Fool-for-Christ,Andrew of Totma,Male,Fool-for-Christ,Layperson,,,Poverty,,,Rus' / Russia,Russian,Modern,17th,Oct 10,"Blessed Andrew, pray to God for us.",,,"A Russian holy fool who left the world as a young man and lived in voluntary poverty, known for spiritual endurance and hidden holiness.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1993,Martyr Theotecnus of Antioch,Theotecnus,Male,Martyr,,,Officer / General; Soldier,Persecution,,,Syria,,Pre-Nicene,4th,Oct 10,"Holy Martyr Theotecnus, pray to God for us.",,,A military commander of Antioch under Maximian who refused pagan sacrifice and suffered martyrdom for Christ.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1994,Saint Bassian of Constantinople,Bassian the Abbot,Male,Venerable (Monastic),Monastic,,,,,,Syria,,Byzantine,5th,Oct 10,"Venerable Father Bassian, pray to God for us.",,,An ascetic of Syrian origin who became abbot of a monastery in Constantinople under Emperor Marcian.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1995,Saint Theophilus the Confessor of Bulgaria,Theophilus of Tiberiada,Male,Venerable (Monastic); Confessor,Monastic,,,Persecution,,,Bulgaria,Bulgarian,Byzantine,9th,Oct 10,"Venerable Father Theophilus, pray to God for us.",,,A monastic confessor who suffered for the veneration of the holy icons during the iconoclast persecution.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1996,"New Hieromartyr Peter (Polyansky), Metropolitan of Krutitsy",Peter Polyansky,Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Imprisonment; Persecution,,,Rus' / Russia,Russian,Modern,20th,Oct 10,"Holy New Martyr Peter, pray to God for us.",,,Metropolitan of Krutitsy and locum tenens of the patriarchal throne who suffered imprisonment and martyrdom in the Soviet persecution.,Among the New Martyrs and Confessors of Russia.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1997,"Venerable Philotheus, Patriarch of Constantinople",Philotheos Kokkinos,Male,Hierarch,Clergy - Bishop,,Writer,,,,Greece,Greek,Post-Byzantine,14th,Oct 11,"Holy Hierarch Philotheus, pray to God for us.",,,"A monk of Sinai and Athos who became Patriarch of Constantinople, supported hesychasm, and wrote lives and liturgical texts.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1998,Apostle Philip of the Seventy,Philip the Deacon; Philip the Evangelist,Male,Apostle,Clergy - Deacon,,,,,Missionary Work,Palestine / Holy Land,,Apostolic Age,1st,Oct 11,"Holy Apostle Philip, pray to God for us.",,,"One of the Seven Deacons and a member of the Seventy, who preached in Samaria and baptized the Ethiopian eunuch.",Apostle of the Seventy; not Philip of the Twelve.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1999,"Saint Theophanes the Confessor and Hymnographer, Bishop of Nicaea",Theophanes the Branded's brother,Male,Hierarch; Confessor,Clergy - Bishop,,Hymnographer,Exile; Torture; Persecution,,,Palestine / Holy Land,,Byzantine,9th,Oct 11,"Holy Hierarch Theophanes, pray to God for us.",,,"Brother of Theodore the Branded, educated in the Lavra of Saint Sabbas, who suffered for the holy icons and later became Bishop of Nicaea and a hymnographer.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2000,Venerable Theophanes the Faster of the Kiev Near Caves,Theophanes of the Kiev Caves,Male,Venerable (Monastic),Monastic,,,,,,Ukraine,Russian,Byzantine,12th,Oct 11,"Venerable Father Theophanes, pray to God for us.",,,"A monk of the Kiev Near Caves known for strict fasting, whose relics repose in the Near Caves of Saint Anthony.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2001,Virgin Martyrs Zenaida and Philonilla of Tarsus,Zenais; Philonilla,Female,Martyr,,,Physician,Persecution,,Healing,Asia Minor,,Apostolic Age,1st,Oct 11,"Holy Martyrs Zenaida and Philonilla, pray to God for us.",,,"Women of Tarsus related to the Apostle Paul, learned in medicine, who treated the sick freely and preached Christ.",Distinct from Martyr Zenaida of Caesarea (OS-1310).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2002,Venerable Ethelburga of Barking,Ethelburh of Barking,Female,Venerable (Monastic),Monastic,,,,,,England,Western (pre-schism),Byzantine,7th,Oct 11,"Venerable Mother Ethelburga, pray to God for us.",,,A seventh-century East Anglian royal who became the first abbess of the monastery of Barking in Essex.,Pre-schism Western saint; distinct from Aethelburh of Kent (OS-0309).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2003,Venerable Leonid of Optina,Leo Nagolkin,Male,Venerable (Monastic),Clergy - Priest,,,,,,Rus' / Russia,Russian,Modern,18th,Oct 11,"Venerable Father Leonid, pray to God for us.",,,"The first of the great Optina Elders, who established the tradition of eldership and spiritual guidance at the Optina hermitage.",Glorified among the Optina Elders.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2004,"Martyrs Probus, Tarachus, and Andronicus",Probus; Tarachus; Andronicus,Male,Martyr,,,Soldier,Torture; Persecution,,,Asia Minor,,Pre-Nicene,4th,Oct 12,"Holy Martyrs Probus, Tarachus, and Andronicus, pray to God for us.",,,"Three Christians martyred at Tarsus in 304, who endured repeated interrogation and torture for refusing pagan sacrifice.",Named group kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2005,"Saint Cosmas the Hymnographer, Bishop of Maiuma",Cosmas of Maiuma,Male,Hierarch,Clergy - Bishop,,Hymnographer,,,,Palestine / Holy Land,,Byzantine,8th,Oct 12,"Holy Hierarch Cosmas, pray to God for us.",,,"Raised with Saint John of Damascus, he became a monk and later Bishop of Maiuma, writing many hymns and canons for Orthodox worship.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2006,"Venerable Amphilochius, Abbot of Glushetsa",Amphilochius of Glushetsa,Male,Venerable (Monastic),Clergy - Priest,,,,,,Rus' / Russia,Russian,Post-Byzantine,15th,Oct 12,"Venerable Father Amphilochius, pray to God for us.",,,A priest-monk who joined Saint Dionysius of Glushetsa as his close disciple and later guided the Glushetsa monastic community.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2007,Martyr Domnina of Anazarbus,Domnina of Cilicia,Female,Martyr,,,,Torture; Imprisonment; Persecution,,,Asia Minor,,Pre-Nicene,3rd,Oct 12,"Holy Martyr Domnina, pray to God for us.",,,"A Christian woman of Cilicia who confessed Christ and endured beatings, burning, and imprisonment, dying in prison in 286.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2008,"Saint Martin the Merciful, Bishop of Tours",Martin of Tours,Male,Hierarch; Confessor,Clergy - Bishop,,Soldier,War,Mercy; Charity,Military Service,Gaul / France,Western (pre-schism),Byzantine,4th,Oct 12; Nov 11,"Holy Hierarch Martin, pray to God for us.",,,"A former Roman soldier who became a monk and Bishop of Tours, remembered for mercy, pastoral courage, and care for the poor.",Pre-schism Western saint. Also commemorated Nov 11.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2009,"Saint Edwin, King and Martyr of Northumbria",Eadwine,Male,Right-believing (Ruler); Martyr,,,Ruler,Exile; War; Persecution,,,England,Western (pre-schism),Byzantine,7th,Oct 12,"Holy King Edwin, pray to God for us.",,,"King of Northumbria who accepted Christianity and supported its spread, dying in battle and venerated as a martyr.",Pre-schism Western saint.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2010,"New Hieromartyr John, Archbishop of Riga",John of Latvia; John Pommer,Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,,,Baltics,Russian,Modern,20th,Oct 12,"Holy New Martyr John, pray to God for us.",,,Archbishop of Riga and Latvia who guided the Orthodox Church amid hardship and suffered a martyr's death.,Among the New Martyrs of the twentieth century.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2011,"Martyrs Carpus, Papylus, Agathodorus, and Agathonica at Pergamum",Carpus; Papylus; Agathadorus; Agathonice,Male & Female,Hieromartyr; Martyr,Clergy - Bishop,,,Torture; Persecution,,,Asia Minor,,Pre-Nicene,3rd,Oct 13,"Holy Martyrs Carpus and those with him, pray to God for us.",,,Christians of Pergamum who refused the pagan festivals and suffered under Decius; Agathonica joined their confession and martyrdom.,Named group kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2012,Venerable Benjamin of the Kiev Caves,Benjamin of the Far Caves,Male,Venerable (Monastic),Monastic,,Merchant,,,,Ukraine,Russian,Post-Byzantine,14th,Oct 13,"Venerable Father Benjamin, pray to God for us.",,,A wealthy merchant who renounced his possessions after hearing the Gospel warning about riches and became a monk of the Kiev Caves.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2013,Martyr Florentius of Thessalonica,Florentius,Male,Martyr,,,,Torture; Persecution,,,Greece,,Unknown,,Oct 13,"Holy Martyr Florentius, pray to God for us.",,,"A Christian of Thessalonica who fearlessly unmasked idolatry, brought others to faith, and was tortured and burned for Christ.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2014,Martyr Benjamin the Deacon of Persia,Benjamin the Deacon,Male,Martyr,Clergy - Deacon,,,Persecution,,Missionary Work,Persia,,Byzantine,5th,Oct 13,"Holy Martyr Benjamin, pray to God for us.",,,A Persian deacon who converted many pagans to Christianity and suffered for his preaching during the Persian persecution.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2015,Saint Niketas the Confessor of Paphlagonia,Niketas the Patrician,Male,Confessor,Layperson,,,Exile; Persecution,,,Asia Minor,,Byzantine,9th,Oct 13,"Holy Confessor Niketas, pray to God for us.",,,An imperial court patrician of Paphlagonia who represented Empress Irene at the Seventh Ecumenical Council and later confessed the veneration of the icons.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2016,New Martyr Zlata of Meglena,Zlata; Chryse,Female,New Martyr,,,,Torture; Persecution,Purity,,Bulgaria,Bulgarian,Modern,18th,Oct 13,"Holy New Martyr Zlata, pray to God for us.",,,A virgin of the village of Slatena in the Meglena region who refused to accept Islam or marriage and was tortured to death for Christ.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2017,Saints Anthony and Jacob of Chqondidi,"Anthony, Metropolitan of Chqondidi; Jacob the Elder",Male,Hierarch; Venerable (Monastic),Clergy - Bishop,,,,,,Georgia,Georgian,Byzantine,,Oct 13,"Holy Fathers Anthony and Jacob, pray to God for us.",,,"Georgian saints of Chqondidi; Anthony, of princely Georgian descent, served as metropolitan, while Jacob was revered as an elder.",Named pair kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2018,"Martyrs Gervasius, Nazarius, Protasius, and Celsus of Milan",Nazarius; Gervasius; Protasius; Celsus,Male,Martyr,,,,Persecution,,,Italy / Rome,Western (pre-schism),Apostolic Age,1st,Oct 14,"Holy Martyrs Gervasius, Nazarius, Protasius, and Celsus, pray to God for us.",,,Nazarius preached Christ in Gaul and Milan and suffered with the young Celsus; the twin brothers Gervasius and Protasius of Milan are commemorated with them.,Pre-schism Western saints; named group kept as one row.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2019,Venerable Paraskevi of Serbia,Petka; Paraskeva the New,Female,Venerable (Monastic),Monastic,,,,,,Greece,Serbian,Byzantine,11th,Oct 14,"Venerable Mother Paraskevi, pray to God for us.",,,"A pious woman of Epivates who left wealth behind for ascetic and monastic life, whose relics became widely venerated across the Balkans.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2020,"Venerable Nicholas Sviatosha, Prince of Chernigov","Nicholas, Wonderworker of the Kiev Caves",Male,Venerable (Monastic); Wonderworker,Monastic,Married; Parent,Ruler,Marriage,,,Ukraine,Russian,Byzantine,12th,Oct 14,"Venerable Father Nicholas, pray to God for us.",,,"A prince of Chernigov, great-grandson of Yaroslav the Wise, who renounced worldly rank and became a humble monk of the Kiev Caves, known for obedience and service.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2021,Venerable Euthymius the New of Thessalonica,Euthymius of Mount Athos; Niketas,Male,Venerable (Monastic),Monastic,Married,,Marriage,,,Asia Minor,Greek,Byzantine,9th,Oct 15,"Venerable Father Euthymius, pray to God for us.",,,A Galatian who left family life for monastic asceticism and became a major Athonite and Thessalonian monastic figure.,Possible overlap with the row 'Euthymius the New and those with him' (OS-1165) — verify.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2022,Hieromartyr Lucian the Presbyter of Antioch,Lucian of Antioch,Male,Hieromartyr,Clergy - Priest,,Teacher,Imprisonment; Persecution,,,Syria,,Pre-Nicene,4th,Oct 15,"Holy Hieromartyr Lucian, pray to God for us.",,,"An orphan who gave away his possessions and became a presbyter and biblical scholar at Antioch, suffering martyrdom during persecution.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2023,"Saint John, Bishop of Suzdal",John of Suzdal,Male,Hierarch,Clergy - Bishop,,,,,,Rus' / Russia,Russian,Post-Byzantine,14th,Oct 15,"Holy Hierarch John, pray to God for us.",,,"A monk who became the first Bishop of Suzdal and Nizhny Novgorod, remembered for humility, pastoral holiness, and miracles.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2024,Hieromartyr Lucian of the Kiev Caves,Lucian the Presbyter of the Kiev Caves,Male,Hieromartyr,Clergy - Priest; Monastic,,,Persecution,,,Ukraine,Russian,Byzantine,13th,Oct 15,"Holy Hieromartyr Lucian, pray to God for us.",,,A presbyter of the Kiev Caves who suffered martyrdom during Batu's invasion around 1243.,Few details of his life are preserved.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2025,"Saint Sabinus, Bishop of Catania",Sabinus of Catania,Male,Hierarch; Wonderworker,Clergy - Bishop,,,,,,Italy / Rome,Western (pre-schism),Byzantine,,Oct 15,"Holy Hierarch Sabinus, pray to God for us.",,,A bishop of Catania in Sicily who withdrew to the wilderness for ascetic life and was remembered for wonderworking and discernment.,OCA gives limited details; pre-schism Western saint.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2026,Martyr Longinus the Centurion,Longinus who stood at the Cross,Male,Martyr,Convert,,Officer / General; Soldier,Persecution,,Military Service,Palestine / Holy Land,,Apostolic Age,1st,Oct 16,"Holy Martyr Longinus, pray to God for us.",,,"A Roman centurion present at the Crucifixion who confessed Christ as the Son of God, later preached the faith, and suffered martyrdom.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2027,Venerable Longinus the Gatekeeper of the Kiev Caves,Longinus of the Kiev Caves,Male,Venerable (Monastic),Monastic,,,,Obedience; Discernment,,Ukraine,Russian,Byzantine,14th,Oct 16,"Venerable Father Longinus, pray to God for us.",,,A monk of the Kiev Far Caves who served in humble obedience as gatekeeper and was remembered for discernment and prayerful care for pilgrims.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2028,Venerable Longinus of Yarenga,Longinus the Wonderworker,Male,Venerable (Monastic); Wonderworker,Monastic,,,,,,Rus' / Russia,Russian,Post-Byzantine,16th,Oct 16,"Venerable Father Longinus, pray to God for us.",,,A monk of the northern Russian monastic tradition honored as a wonderworker of Yarenga.,Also commemorated Jul 3.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2029,Martyr Longinus of Asistavi,Longinus of Georgia,Male,Martyr,,,,Persecution,,,Georgia,Georgian,Unknown,,Oct 16,"Holy Martyr Longinus, pray to God for us.",,,"A martyr of Asistavi in Georgia commemorated by the Church, of whom no detailed life survives.",Honest stub; OCA gives no life details.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2030,Saint Eupraxia of Pskov,Princess Eupraxia; the nun Euphrosyne,Female,Venerable (Monastic); Martyr,Monastic,Married,,Difficult Marriage; Persecution,,,Rus' / Russia,Russian,Byzantine,13th,Oct 16,"Holy Eupraxia, pray to God for us.",,,"A princess of Pskov who entered monastic life after her husband abandoned her and was later murdered in Livonia, venerated for holiness and suffering.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2031,Blessed Domna of Tomsk,Domna Karpovna,Female,Fool-for-Christ,Layperson,,,Poverty; Homelessness,,,Rus' / Russia,Russian,Modern,19th,Oct 16,"Blessed Domna, pray to God for us.",,,"A noble-born woman who lived as a fool-for-Christ in Siberia, embracing poverty, prayer, and humility while serving the poor.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2032,Prophet Hosea,Osee,Male,Prophet,,,,,,,Palestine / Holy Land,,Old Testament,,Oct 17,"Holy Prophet Hosea, pray to God for us.",,,"The first of the Twelve Minor Prophets, who called Israel back from idolatry and revealed God's covenant love through the imagery of marriage.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2033,Monastic Martyr Andrew of Crete,Andrew the Confessor,Male,Venerable-Martyr; Confessor,Monastic,,,Torture; Persecution,,,Greece,,Byzantine,8th,Oct 17,"Holy Monastic Martyr Andrew, pray to God for us.",,,A monk who defended the holy icons under Constantine Kopronymos and was tortured and killed for resisting iconoclasm.,Not Andrew of Crete the author of the Great Canon (OS-1468).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2034,"Venerable Anthony, Abbot of Leokhnov",Anthony of Leokhnov,Male,Venerable (Monastic); Hermit,Monastic,,,,,,Rus' / Russia,Russian,Post-Byzantine,16th,Oct 17,"Venerable Father Anthony, pray to God for us.",,,A Russian monk and hermit of noble Tver lineage who founded monastic life near Lake Ilmen and guided the Leokhnov monastery.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2035,"Saint Joseph, Catholicos of Georgia",Joseph Jandierishvili,Male,Hierarch; Wonderworker,Clergy - Bishop,,,,,Healing,Georgia,Georgian,Modern,18th,Oct 17,"Holy Hierarch Joseph, pray to God for us.",,,"A Georgian hierarch educated at David-Gareji and later Catholicos of Georgia, remembered for wisdom, pastoral care, and healing prayers.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2036,Martyr Kozman of Kartli,Cosmas of Georgia,Male,Martyr,,,,Persecution,,,Georgia,Georgian,Unknown,,Oct 17,"Holy Martyr Kozman, pray to God for us.",,,"A Georgian martyr of Kartli commemorated by the Church, of whom little detail is preserved.",Honest stub; OCA gives little detail.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-2037,Martyr Marinus the Elder,Marinus of Anazarbus,Male,Martyr,,,,Torture; Persecution,,,Asia Minor,,Pre-Nicene,4th,Oct 18,"Holy Martyr Marinus, pray to God for us.",,,A Christian elder of Anazarbus in Cilicia who was beaten and killed under Diocletian for confessing Christ.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
